City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kirya,-3.9167,37.4833,71.89,63,100,2.82,TZ,1644456485
Songkhla,6.8333,100.6667,80.65,85,100,3.85,TH,1644456485
Dourdan,48.5277,2.0111,46.02,93,37,10.33,FR,1644456486
Haines Junction,60.7522,-137.5108,34.39,86,18,8.93,CA,1644455920
Pathein,16.7833,94.7333,62.92,51,6,5.28,MM,1644456486
Bluff,-46.6,168.3333,63.01,89,67,10.27,NZ,1644455710
Kumul,42.8,93.45,25.5,40,100,6.64,CN,1644456031
Ribeira Grande,38.5167,-28.7,59.5,71,1,15.35,PT,1644455688
Khatanga,71.9667,102.5,-4.56,94,98,13.76,RU,1644455955
Ancud,-41.8697,-73.8203,56.43,75,100,8.01,CL,1644455715
La Ronge,55.1001,-105.2842,10.65,85,100,4.61,CA,1644456487
Prince Rupert,54.3161,-130.3201,46.49,93,100,13.8,CA,1644456305
Sioux Lookout,50.1001,-91.917,8.98,78,100,12.66,CA,1644456487
Chishtian,29.8,72.8667,52.25,57,0,4.63,PK,1644456488
Ahipara,-35.1667,173.1667,79.88,67,100,12.59,NZ,1644456488
Waddān,29.1614,16.139,50.25,58,64,8.1,LY,1644456489
Sliven,42.6858,26.3292,34.16,90,91,3.51,BG,1644456242
Barrow,71.2906,-156.7887,-20.18,69,100,11.5,US,1644455754
Daura,11.5538,11.4085,63.36,10,7,10.16,NG,1644456489
Necochea,-38.5473,-58.7368,69.04,61,0,9.89,AR,1644456446
Aklavik,68.2191,-135.0107,-19.37,96,100,8.39,CA,1644455942
Mar del Plata,-38.0023,-57.5575,70.88,76,0,17.0,AR,1644455707
Longyearbyen,78.2186,15.6401,12.04,85,75,6.91,SJ,1644455903
Korla,41.7597,86.1469,26.33,46,100,5.03,CN,1644456490
Airai,-8.9266,125.4092,70.2,76,75,0.51,TL,1644456024
Castro,-24.7911,-50.0119,59.97,97,7,7.14,BR,1644455932
Tautira,-17.7333,-149.15,86.02,77,21,16.06,PF,1644456490
Vilhena,-12.7406,-60.1458,68.13,97,100,2.89,BR,1644456491
Saint George,37.1041,-113.5841,63.19,23,0,23.02,US,1644455902
Camopi,3.1655,-52.3158,71.46,99,100,2.55,GF,1644455888
Geraldton,-28.7667,114.6,82.81,34,0,5.75,AU,1644455714
Leningradskiy,69.3833,178.4167,-28.3,97,86,6.26,RU,1644456036
Carnarvon,-24.8667,113.6333,84.27,54,0,10.36,AU,1644455928
Souillac,-20.5167,57.5167,74.35,77,80,3.67,MU,1644455941
Kapaa,22.0752,-159.319,79.12,67,75,9.22,US,1644455921
Port Alfred,-33.5906,26.891,65.1,86,2,9.26,ZA,1644455918
Saskylakh,71.9167,114.0833,-2.06,92,99,12.15,RU,1644455764
Ponta do Sol,32.6667,-17.1,67.12,60,100,4.79,PT,1644455900
Laas,46.6166,10.7002,49.46,33,16,3.22,IT,1644455773
Porto-Novo,6.4965,2.6036,82.22,89,3,4.43,BJ,1644455895
Pevek,69.7008,170.3133,-31.52,99,100,5.26,RU,1644455963
Boguchany,58.3814,97.4531,-26.09,100,51,2.06,RU,1644456492
San Cristobal,7.7669,-72.225,73.58,91,92,1.61,VE,1644455957
Valašské Meziříčí,49.4718,17.9711,42.33,88,100,4.23,CZ,1644456493
Port Blair,11.6667,92.75,78.84,78,20,9.22,IN,1644455782
São João da Barra,-21.6403,-41.0511,69.08,95,100,9.55,BR,1644455915
Fairbanks,64.8378,-147.7164,-1.91,76,100,4.61,US,1644455875
Pisco,-13.7,-76.2167,72.01,88,40,5.03,PE,1644456052
Mwinilunga,-11.7358,24.4293,61.07,97,100,1.5,ZM,1644456494
Tiksi,71.6872,128.8694,-12.98,93,100,12.73,RU,1644456494
Mackay,-21.15,149.2,91.69,54,0,10.36,AU,1644456385
Sangar,63.9242,127.4739,-34.55,99,89,2.46,RU,1644456494
Rio Grande,-32.035,-52.0986,68.95,66,0,13.82,BR,1644456495
Bethel,41.3712,-73.414,36.99,77,85,3.69,US,1644455779
Rundu,-17.9333,19.7667,69.71,83,96,2.8,NA,1644456495
Havøysund,70.9963,24.6622,23.88,81,100,10.65,NO,1644456495
Isangel,-19.55,169.2667,77.86,95,100,40.0,VU,1644455683
Cabo San Lucas,22.8909,-109.9124,73.51,64,20,11.5,MX,1644455975
Faanui,-16.4833,-151.75,81.23,76,78,13.98,PF,1644455989
Nyuksenitsa,60.4128,44.2397,23.86,95,100,7.49,RU,1644456496
Malindi,-3.2175,40.1191,75.96,88,57,8.88,KE,1644456496
Namatanai,-3.6667,152.4333,84.78,69,51,5.97,PG,1644456206
Alofi,-19.0595,-169.9187,85.89,70,50,8.05,NU,1644456017
Khovd,48.0056,91.6419,-9.11,93,98,2.89,MN,1644456497
Buala,-8.145,159.5921,83.66,78,91,10.02,SB,1644456044
Cape Canaveral,28.4058,-80.6048,57.06,77,0,8.05,US,1644455934
Avarua,-21.2078,-159.775,80.65,83,100,16.11,CK,1644455906
Ilulissat,69.2167,-51.1,12.22,85,75,27.63,GL,1644456057
Istok,42.7808,20.4875,36.16,86,1,3.15,XK,1644456498
Dunedin,-45.8742,170.5036,64.4,90,88,5.84,NZ,1644456215
Formosa,-26.1775,-58.1781,78.78,47,0,5.75,AR,1644456498
Coatzintla,20.4833,-97.45,63.18,55,100,0.0,MX,1644456402
Aksarka,66.5606,67.7975,-0.42,99,95,7.96,RU,1644456499
Albany,42.6001,-73.9662,40.68,68,100,4.56,US,1644455755
Skjervøy,70.0311,20.9714,29.55,60,95,13.15,NO,1644456499
Norman Wells,65.282,-126.8329,-7.56,71,100,3.44,CA,1644455921
Polovinnoye,54.7914,65.9864,-2.42,100,65,6.62,RU,1644456499
Mehamn,71.0357,27.8492,18.28,88,44,10.31,NO,1644455926
Cleethorpes,53.5605,-0.0323,43.05,81,75,11.5,GB,1644456500
Progreso,21.2833,-89.6667,71.11,72,6,10.33,MX,1644456500
Pangnirtung,66.1451,-65.7125,-19.26,98,100,4.52,CA,1644455933
Gizo Government Station,-8.103,156.8419,83.01,76,77,10.83,SB,1644456501
Saint-Joseph,-21.3667,55.6167,73.78,80,13,3.09,RE,1644456501
Mocuba,-16.8392,36.9856,70.61,96,79,2.15,MZ,1644456501
Bétaré Oya,5.6,14.0833,67.15,23,100,4.5,CM,1644456501
Lere,10.387,8.5726,66.56,11,17,6.24,NG,1644456502
Lompoc,34.6391,-120.4579,77.14,26,0,4.61,US,1644455986
Salinópolis,-0.6136,-47.3561,77.5,87,70,6.71,BR,1644455870
Fereydūnkenār,36.6864,52.5225,48.42,71,0,0.0,IR,1644456502
Klaksvík,62.2266,-6.589,34.72,61,100,21.25,FO,1644455752
Ankazoabo,-22.2833,44.5167,69.94,91,21,7.54,MG,1644456503
Ginda,30.6945,78.4932,27.57,54,0,7.54,IN,1644456503
Nemuro,43.3236,145.575,25.23,71,7,5.01,JP,1644456503
São Filipe,14.8961,-24.4956,76.37,59,97,4.25,CV,1644456504
Vila Franca do Campo,37.7167,-25.4333,58.19,79,28,9.01,PT,1644456504
Anadyr,64.75,177.4833,-26.9,74,0,6.71,RU,1644456504
Kanniyākumāri,8.0833,77.5667,74.53,74,100,16.24,IN,1644456505
Sorong,-0.8833,131.25,79.38,85,100,3.8,ID,1644456464
Najrān,17.4924,44.1277,52.45,33,0,1.05,SA,1644456505
Novo Oriente,-5.5344,-40.7742,73.89,72,34,2.73,BR,1644456505
São Gabriel da Cachoeira,-0.1303,-67.0892,71.73,96,100,2.55,BR,1644456291
Zhezkazgan,47.8043,67.7144,22.98,93,100,4.47,KZ,1644455924
Båtsfjord,70.6345,29.7185,25.23,85,75,22.46,NO,1644456506
College,64.8569,-147.8028,-2.25,76,100,4.61,US,1644455927
Mawlaik,23.6333,94.4167,52.84,59,4,0.74,MM,1644456506
Mandalgovi,45.7625,106.2708,1.09,86,100,6.58,MN,1644456507
Atuona,-9.8,-139.0333,78.71,75,9,16.82,PF,1644455929
Domoni,-12.2569,44.5319,79.2,85,99,8.86,KM,1644456507
Kruisfontein,-34.0033,24.7314,61.36,79,0,6.22,ZA,1644456019
Mayumba,-3.432,10.6554,76.69,91,100,4.63,GA,1644456508
Guarujá,-23.9931,-46.2564,76.89,26,26,1.99,BR,1644456508
Saýat,38.7839,63.8803,37.27,45,5,10.76,TM,1644456508
Alice Springs,-23.7,133.8833,83.75,32,0,11.5,AU,1644456288
Atar,20.5169,-13.0499,68.67,12,13,9.73,MR,1644456477
Naze,28.3667,129.4833,59.92,80,100,14.5,JP,1644456509
Kidal,18.4411,1.4078,67.28,8,0,7.36,ML,1644455959
Assiut,27.181,31.1837,48.99,58,0,11.68,EG,1644455924
Dingle,10.9995,122.6711,80.89,71,13,14.72,PH,1644456509
Loíza,18.4313,-65.8802,77.0,75,40,4.61,PR,1644456510
Nanortalik,60.1432,-45.2371,19.99,68,97,7.87,GL,1644455717
Daru,-9.0763,143.2092,83.88,75,100,6.58,PG,1644456510
Mitzic,0.7821,11.549,70.93,86,68,3.6,GA,1644456510
Raudeberg,61.9875,5.1352,36.27,93,100,8.01,NO,1644456510
Paramonga,-10.6667,-77.8333,70.95,81,94,7.43,PE,1644456511
Coquimbo,-29.9533,-71.3436,64.13,88,100,8.05,CL,1644455675
Lavrentiya,65.5833,-171.0,-22.83,93,30,7.9,RU,1644455716
Shimanovsk,52.0,127.7,3.18,91,89,5.82,RU,1644456511
Sambava,-14.2667,50.1667,75.61,91,100,4.94,MG,1644455985
Fortuna,40.5982,-124.1573,68.86,65,0,1.99,US,1644456259
Batticaloa,7.7102,81.6924,74.77,85,74,8.43,LK,1644456512
Kisangani,0.5167,25.2,70.07,87,27,3.04,CD,1644456512
Semey,50.4111,80.2275,-12.78,84,75,0.0,KZ,1644456513
Unity,52.4501,-109.1682,26.26,91,100,9.28,CA,1644456513
Taiobeiras,-15.8078,-42.2331,66.99,91,100,2.15,BR,1644456513
Yellowknife,62.456,-114.3525,-6.59,87,100,17.27,CA,1644456514
Poum,-20.2333,164.0167,81.34,86,100,29.17,NC,1644455941
Hobyo,5.3505,48.5268,75.63,72,100,20.27,SO,1644456514
East London,-33.0153,27.9116,67.95,77,0,5.68,ZA,1644456514
Port Hardy,50.6996,-127.4199,45.75,93,75,6.91,CA,1644456514
Touros,-5.1989,-35.4608,81.5,70,69,10.25,BR,1644455980
Mount Isa,-20.7333,139.5,92.97,46,76,8.05,AU,1644456515
Saint-François,46.4154,3.9054,33.67,93,0,2.3,FR,1644456515
Borogontsy,62.6683,131.1683,-27.13,97,96,3.49,RU,1644456516
Narsaq,60.9167,-46.05,16.02,71,99,9.64,GL,1644455918
Pochutla,15.7432,-96.4661,78.82,74,71,3.11,MX,1644456516
Ust-Nera,64.5667,143.2,-23.26,98,71,4.94,RU,1644456516
Ekibastuz,51.6667,75.3667,-10.07,100,38,3.24,KZ,1644456517
Põltsamaa,58.6525,25.9706,35.58,87,58,11.54,EE,1644456517
Lilongwe,-13.9669,33.7873,65.66,98,100,1.95,MW,1644456517
Hecun,36.5333,114.1111,39.6,42,0,2.19,CN,1644456517
Batagay-Alyta,67.8006,130.4114,-27.26,90,43,4.45,RU,1644456518
Cascais,38.6979,-9.4215,58.51,63,9,15.01,PT,1644455994
Muscatine,41.4667,-91.1335,36.37,60,100,13.8,US,1644456518
Thompson,55.7435,-97.8558,-0.24,65,100,2.3,CA,1644455937
Konotop,51.2403,33.2026,31.78,90,100,9.55,UA,1644456519
Barbosa Ferraz,-24.03,-52.0117,79.09,84,1,1.99,BR,1644456519
Nouadhibou,20.931,-17.0347,69.78,46,0,12.66,MR,1644456014
Emba,48.8264,58.1442,5.9,96,84,6.24,KZ,1644456519
Qaanaaq,77.484,-69.3632,-20.94,70,97,7.16,GL,1644455925
Olafsvik,64.8945,-23.7142,25.86,56,90,7.29,IS,1644456520
Severo-Kuril'sk,50.6789,156.125,31.01,75,100,19.19,RU,1644456285
Grindavik,63.8424,-22.4338,23.47,68,0,4.61,IS,1644455787
Greenville,35.6127,-77.3663,46.56,76,0,0.0,US,1644456383
Riyadh,24.6877,46.7219,53.74,31,0,9.64,SA,1644456266
Lichuan,30.3,108.85,31.73,87,100,2.93,CN,1644456521
Kushmurun,52.4503,64.6311,5.2,98,70,3.8,KZ,1644456521
Road Town,18.4167,-64.6167,75.29,88,40,6.91,VG,1644456521
Padang,-0.9492,100.3543,77.05,60,100,3.49,ID,1644456308
Eastbourne,50.7687,0.2845,49.39,96,100,10.18,GB,1644456522
Kango,0.1943,10.0951,75.02,96,21,2.3,GA,1644456522
Sligo,54.2697,-8.4694,35.69,75,87,19.48,IE,1644456522
Valparaíso,-33.0393,-71.6273,66.47,78,100,5.75,CL,1644456484
Zyryanka,65.75,150.85,-30.62,91,64,5.08,RU,1644456523
Laguna,38.421,-121.4238,69.78,52,0,5.75,US,1644456523
Hella,67.2,14.4333,33.94,86,75,17.27,NO,1644456523
Shreveport,32.5251,-93.7502,55.62,41,0,3.44,US,1644456471
Vao,-22.6667,167.4833,81.37,85,100,32.77,NC,1644456524
Omiš,43.4447,16.6886,40.93,66,6,4.5,HR,1644456524
Edwardsville,38.8114,-89.9532,45.36,69,0,5.75,US,1644456379
Tuy Hoa,13.0833,109.3,76.06,87,62,5.23,VN,1644456524
Kavieng,-2.5744,150.7967,84.04,72,30,5.86,PG,1644455936
Sucre,-19.0333,-65.2627,54.81,77,95,2.51,BO,1644456525
Ixtapa,20.7,-105.2,72.63,68,0,9.22,MX,1644456329
Nikolskoye,59.7035,30.7861,36.88,98,100,10.92,RU,1644455749
Tabas,33.5959,56.9244,48.88,29,0,2.24,IR,1644456525
Baykit,61.67,96.37,-15.52,98,91,2.08,RU,1644456054
Kloulklubed,7.0419,134.2556,82.9,80,100,11.83,PW,1644455942
Funadhoo,6.15,73.2667,80.67,73,95,7.27,MV,1644456526
Kanigiri,15.4,79.5167,65.59,88,15,1.1,IN,1644456526
Bariloche,-41.1456,-71.3082,62.35,48,0,25.32,AR,1644456526
High Level,58.5169,-117.136,6.91,92,100,8.05,CA,1644456018
Maltahöhe,-24.8333,16.9833,70.21,67,30,4.47,NA,1644456527
Mahébourg,-20.4081,57.7,74.25,75,90,4.81,MU,1644455937
Pemangkat,1.1667,108.9667,74.48,93,100,2.53,ID,1644456230
Constitución,-35.3333,-72.4167,58.82,85,0,8.57,CL,1644456527
Dhidhdhoo,6.8833,73.1,80.78,74,100,8.88,MV,1644456528
Dovers,12.8833,-61.1833,77.76,76,17,20.29,VC,1644456528
Burns Lake,54.2331,-125.7533,45.82,78,97,15.55,CA,1644456303
Kiama,-34.6833,150.8667,91.26,54,5,8.01,AU,1644456528
Torbay,47.6666,-52.7314,35.28,92,75,13.8,CA,1644456529
Alzamay,55.5562,98.6644,-21.41,100,97,1.21,RU,1644456529
Tlacotepec (San Mateo),20.0667,-97.8667,50.18,95,100,1.14,MX,1644456529
Lahaina,20.8783,-156.6825,82.4,74,18,6.04,US,1644456530
Cayenne,4.9333,-52.3333,77.09,90,75,1.14,GF,1644456530
Yangi Marg`ilon,40.4272,71.7189,35.02,86,100,2.3,UZ,1644455991
Derzhavīnsk,51.1,66.3167,8.15,98,78,7.0,KZ,1644456288
Luoyang,34.6836,112.4536,39.0,54,100,1.12,CN,1644456531
Agüimes,27.9054,-15.4461,70.66,40,0,1.14,ES,1644456531
Inverell,-29.7833,151.1167,89.67,30,0,3.0,AU,1644456531
Florianópolis,-27.6146,-48.5012,72.7,75,75,4.61,BR,1644456532
Elizabeth City,36.2946,-76.2511,47.01,74,0,0.0,US,1644456532
Hithadhoo,-0.6,73.0833,81.61,74,10,10.94,MV,1644456239
Shelburne,44.0787,-80.2041,36.27,87,100,13.51,CA,1644456532
Emerald,-23.5333,148.1667,88.34,51,0,6.91,AU,1644456240
Berlevåg,70.8578,29.0864,25.3,83,37,24.52,NO,1644455956
North Myrtle Beach,33.816,-78.68,48.02,76,0,0.0,US,1644456533
Kindu,-2.95,25.95,69.6,98,93,0.67,CD,1644456533
Muros,42.7762,-9.0603,53.24,94,32,5.39,ES,1644456492
Baruun-Urt,46.6806,113.2792,1.36,94,100,6.93,MN,1644456534
Acapulco de Juárez,16.8634,-99.8901,78.62,73,75,5.75,MX,1644455941
Boa Vista,2.8197,-60.6733,87.78,48,0,10.36,BR,1644456534
Usevya,-7.1,31.2333,64.94,96,100,2.93,TZ,1644456534
Bara,10.3744,10.7288,67.87,11,97,8.52,NG,1644456535
Lawton,34.6087,-98.3903,57.43,23,0,8.05,US,1644456254
Onega,63.9061,38.1404,19.53,93,95,8.77,RU,1644455969
Bathsheba,13.2167,-59.5167,77.61,73,40,17.27,BB,1644455954
Garchitorena,13.8804,123.6946,79.34,76,93,10.42,PH,1644456535
Brae,60.3964,-1.353,33.71,69,99,20.94,GB,1644456282
Chui,-33.6971,-53.4616,65.61,76,0,8.63,UY,1644455962
Erbil,36.1926,44.0106,52.02,59,99,7.49,IQ,1644456536
Vardø,70.3705,31.1107,28.99,77,100,20.38,NO,1644456536
Erenhot,43.6475,111.9767,8.53,80,45,7.9,CN,1644456536
Inhambane,-23.865,35.3833,74.8,83,0,3.42,MZ,1644456537
La Ligua,-32.4524,-71.2311,62.38,82,43,3.69,CL,1644456537
Conceição do Araguaia,-8.2578,-49.2647,74.82,90,100,2.13,BR,1644456537
San-Pédro,4.7485,-6.6363,77.99,92,7,4.54,CI,1644456538
Lüderitz,-26.6481,15.1594,73.54,52,76,17.02,NA,1644455968
Ballina,-28.8667,153.5667,82.58,59,0,10.36,AU,1644456538
Santa Maria,-29.6842,-53.8069,69.1,73,0,8.05,BR,1644456538
Lamu,-2.2717,40.902,79.02,90,32,12.71,KE,1644456539
Kasempa,-13.4584,25.8338,62.28,98,100,4.56,ZM,1644456539
Katsuura,35.1333,140.3,42.82,84,100,18.92,JP,1644456531
Mahajanga,-15.7167,46.3167,77.02,94,40,2.3,MG,1644456539
Bilibino,68.0546,166.4372,-31.16,100,80,1.63,RU,1644456540
Cidreira,-30.1811,-50.2056,72.1,70,99,14.09,BR,1644456540
Wahiawā,21.5028,-158.0236,77.32,62,100,6.91,US,1644456293
Buchanan,5.8808,-10.0467,78.4,86,9,3.62,LR,1644456540
Kahului,20.8947,-156.47,82.42,60,40,12.66,US,1644456512
Kaoma,-14.7833,24.8,63.45,98,100,4.54,ZM,1644456541
Matamoros,25.5333,-103.25,64.51,20,75,3.44,MX,1644456541
Kiryat Gat,31.61,34.7642,48.4,100,74,19.6,IL,1644456022
Champerico,14.3,-91.9167,80.35,70,69,7.07,GT,1644456542
Flinders,-34.5833,150.8552,88.81,58,5,5.01,AU,1644456011
Noyabrsk,63.1994,75.4507,-10.59,92,12,11.32,RU,1644456542
Makushino,55.2103,67.2442,-2.9,99,27,7.52,RU,1644456542
Līsakovsk,52.5369,62.4936,-1.5,100,85,4.63,KZ,1644456543
Henties Bay,-22.116,14.2845,67.86,85,0,5.75,NA,1644456543
Amontada,-3.3617,-39.8317,75.94,79,58,4.45,BR,1644456543
Shitanjing,39.2342,106.3439,17.94,49,100,3.51,CN,1644456544
Hamilton,39.1834,-84.5333,45.79,56,100,13.8,US,1644455904
Yulara,-25.2406,130.9889,87.64,29,46,14.97,AU,1644455948
Mossamedes,-15.1961,12.1522,72.09,84,98,7.2,AO,1644455959
Manggar,-2.8833,108.2667,78.6,83,100,9.24,ID,1644456545
Odda,60.0691,6.5457,40.77,97,100,26.98,NO,1644456545
Arlit,18.7369,7.3853,65.77,9,0,9.48,NE,1644456030
Zliten,32.4674,14.5687,54.79,61,12,8.75,LY,1644456545
Senanga,-16.1167,23.2667,66.85,93,100,3.24,ZM,1644456546
Verkhnyaya Inta,65.9811,60.3094,13.96,69,5,19.55,RU,1644456546
Hope,33.6671,-93.5916,59.05,51,0,4.47,US,1644456546
Kieta,-6.2167,155.6333,85.39,72,43,7.2,PG,1644456546
Kargil,34.5667,76.1,-17.19,95,81,3.44,IN,1644456547
Kudahuvadhoo,2.6708,72.8944,80.85,72,51,8.81,MV,1644456547
Nālūt,30.3333,10.85,44.8,58,2,12.88,LY,1644456547
Shklo,49.9567,23.5441,41.61,90,100,11.9,UA,1644456548
Cho Dok,10.7,105.1167,77.0,79,100,1.21,VN,1644456548
Yumen,40.2833,97.2,20.61,48,100,10.04,CN,1644456549
Maniitsoq,65.4167,-52.9,16.59,93,100,10.98,GL,1644456549
Dwārka,22.2394,68.9678,69.1,47,6,12.64,IN,1644456549
Villa Bisonó,19.5638,-70.8758,75.09,75,6,8.19,DO,1644456550
Bougouni,11.417,-7.479,74.21,17,2,2.95,ML,1644456550
Puerto Maldonado,-12.6,-69.1833,75.04,90,99,1.48,PE,1644456550
Quatre Cocos,-20.2078,57.7625,74.08,76,90,6.11,MU,1644456551
Samarai,-10.6167,150.6667,83.01,68,87,11.52,PG,1644456551
Hervey Bay,-25.2986,152.8535,83.01,56,0,8.01,AU,1644456551
Elko,41.0002,-115.5012,44.62,75,5,3.56,US,1644456552
Provideniya,64.3833,-173.3,-3.89,59,0,17.9,RU,1644456315
Bunbury,-33.3333,115.6333,74.82,44,1,9.57,AU,1644456552
Hofn,64.2539,-15.2082,21.78,70,71,16.69,IS,1644456010
Adrar,20.5022,-10.0711,63.48,14,0,12.21,MR,1644456553
Okhotsk,59.3833,143.3,10.42,77,100,9.93,RU,1644456553
Ostrovnoy,68.0531,39.5131,23.72,87,100,20.65,RU,1644455954
Lata,40.1629,-8.3327,46.72,68,51,3.76,PT,1644456553
Galveston,29.3669,-94.9669,63.18,76,0,8.05,US,1644456554
Kampong Chhnang,12.1667,104.55,80.6,68,6,3.96,KH,1644456554
Hornepayne,49.2138,-84.7705,26.91,97,100,5.41,CA,1644456554
Kotma,23.2,81.9667,57.09,74,67,6.17,IN,1644456555
Normal,40.5142,-88.9906,38.66,72,100,18.41,US,1644456555
Tuatapere,-46.1333,167.6833,74.82,48,16,1.92,NZ,1644455976
Waitati,-45.75,170.5667,66.47,87,95,2.39,NZ,1644456430
Faya,18.3851,42.4509,55.92,83,8,3.78,SA,1644456059
Port Elizabeth,-33.918,25.5701,64.69,82,0,6.91,ZA,1644456525
Ejido,8.5514,-71.2375,67.6,93,54,2.33,VE,1644456556
Lovozero,68.005,35.0117,20.14,92,100,7.34,RU,1644456556
San Andrés,12.5847,-81.7006,80.62,69,20,9.22,CO,1644456556
Plettenberg Bay,-34.0527,23.3716,68.5,73,98,5.48,ZA,1644456557
Stantsionno-Oyashinskiy,55.4664,83.8245,-10.3,90,6,10.18,RU,1644456557
Nabire,-3.3667,135.4833,79.3,86,100,2.86,ID,1644456557
Guder,8.9667,37.7667,58.86,49,71,2.66,ET,1644456558
Fort Nelson,58.8053,-122.7002,9.99,85,75,5.75,CA,1644456558
Sechura,-5.5569,-80.8222,73.74,65,97,14.07,PE,1644456558
Salalah,17.0151,54.0924,69.89,21,0,12.66,OM,1644455968
Margate,51.3813,1.3862,48.96,88,100,1.99,GB,1644456559
Gaza,31.5,34.4667,48.18,71,78,24.09,PS,1644456559
Shimoda,34.6667,138.95,41.36,96,100,18.25,JP,1644456560
Cuenca,-2.8833,-78.9833,57.33,88,75,9.22,EC,1644456528
La Joya,18.6667,-99.4667,78.31,34,5,3.71,MX,1644456560
Ishigaki,24.3448,124.1572,69.93,88,75,5.75,JP,1644456560
Grand Gaube,-20.0064,57.6608,74.37,77,99,1.99,MU,1644456561
Lakes Entrance,-37.8811,147.981,72.16,68,100,8.48,AU,1644456561
Ternate,0.8,127.4,81.7,75,40,4.68,ID,1644456561
